bookID,title,authors,average_rating,isbn,isbn13,language_code,# num_pages,ratings_count,text_reviews_count
1953,A Tale of Two Cities,Charles Dickens-Richard Maxwell-Saniye Güven-Sevil İnan Sönmez,3.83,0141439602,9780141439600,eng,489,693045,11614
4381,Fahrenheit 451,Ray Bradbury-Alfredo Crespo,3.98,0307347974,9780307347978,spa,175,690801,14489
21787,The Princess Bride,William Goldman,4.26,0345418263,9780345418265,eng,398,673146,13252
18131,A Wrinkle in Time (Time Quintet  #1),Madeleine L'Engle,4.01,0440498058,9780440498056,eng,211,665242,18499
6900,Tuesdays with Morrie,Mitch Albom-Saulius Dagys,4.09,0751529818,9780751529814,eng,210,651567,19368
24583,The Adventures of Tom Sawyer,Mark Twain-Guy Cardwell-John Seelye,3.91,0143039563,9780143039563,eng,244,633683,6439
2165,The Old Man and the Sea,Ernest Hemingway,3.76,0684830493,9780684830490,eng,132,628067,14689
10964,Outlander (Outlander  #1),Diana Gabaldon,4.22,0440242940,9780440242949,eng,850,627194,33535
7126,The Count of Monte Cristo,Alexandre Dumas-Robin Buss,4.24,0140449264,9780140449266,eng,1276,619412,13536
10572,A Clash of Kings  (A Song of Ice and Fire  #2),George R.R. Martin-Lauren Cannon,4.41,0553381695,9780553381696,eng,969,599010,15978
28186,The Sea of Monsters (Percy Jackson and the Olympians  #2),Rick Riordan,4.24,0786856866,9780786856862,eng,279,594249,18942
7244,The Poisonwood Bible,Barbara Kingsolver,4.05,0060786507,9780060786502,eng,546,591393,19312
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,3.95,0316346624,9780316346627,eng,301,589855,11431
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,Steven D. Levitt-Stephen J. Dubner,3.96,0061234001,9780061234002,eng,320,589427,12648
8127,Anne of Green Gables (Anne of Green Gables  #1),L.M. Montgomery,4.24,0451528824,9780451528827,eng,320,583568,12837
12296,The Scarlet Letter,Nathaniel Hawthorne-Thomas E. Connolly-Nina Baym,3.39,0142437263,9780142437261,eng,279,579306,10008
